Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",791084,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Trap Queen","Fetty Wap",702272,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
3,"Nasty Freestyle",T-Wayne,423676,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
4,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",388094,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
5,"Want To Want Me","Jason Derulo",385416,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",379977,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
7,"Uptown Funk","Mark Ronson",362001,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
8,"Shut Up and Dance","WALK THE MOON",360188,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",359677,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,Sugar,"Maroon 5",339391,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
11,"Bitch Better Have My Money",Rihanna,337234,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
12,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",334818,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
13,Somebody,"Natalie La Rose",325792,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
14,"Lean On (feat. MØ & DJ Snake)","Major Lazer",324128,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
15,"Thinking Out Loud","Ed Sheeran",314701,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
16,"Know Yourself",Drake,283434,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
17,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",282022,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
18,"Worth It","Fifth Harmony",280102,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
19,"Talking Body","Tove Lo",275282,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
20,FourFiveSeconds,Rihanna,253266,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
21,"Time of Our Lives",Pitbull,242412,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
22,"Take Me To Church",Hozier,238195,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
23,"Truffle Butter","Nicki Minaj",236522,https://open.spotify.com/track/3keUgTGEoZJt0QkzTB6kHg
24,"Stole the Show",Kygo,233348,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
25,"Honey, I'm Good.","Andy Grammer",232596,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
26,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,232571,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
